,TEAM,DATE,LOC,GAME_ID,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
E'Twaun Moore,NOP,2018-10-17,HOU,201810170HOU,33.733,8,12,.667,1,3,.333,4,4,1.000,2,1,3,2,1,0,2,5,21,+30
Nikola Mirotić,NOP,2018-10-17,HOU,201810170HOU,29.9,11,20,.550,6,8,.750,2,3,.667,7,3,10,3,0,0,1,1,30,+14
Julius Randle,NOP,2018-10-17,HOU,201810170HOU,23.817,9,15,.600,2,4,.500,5,6,.833,2,6,8,3,0,0,0,4,25,+5
Darius Miller,NOP,2018-10-17,HOU,201810170HOU,19.933,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,0,2,2,0,-5
Solomon Hill,NOP,2018-10-17,HOU,201810170HOU,12.033,1,3,.333,1,1,1.000,0,0,,0,2,2,1,0,0,0,2,3,-13
Kenrich Williams,NOP,2018-10-17,HOU,201810170HOU,1.583,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Frank Jackson,NOP,2018-10-17,HOU,201810170HOU,1.583,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Jahlil Okafor,NOP,2018-10-17,HOU,201810170HOU,1.583,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2
Cheick Diallo,NOP,2018-10-17,HOU,201810170HOU,1.583,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-2
Ian Clark,NOP,2018-10-17,HOU,201810170HOU,0.0,,,,,,,,,,,,,,,,,,,
James Harden,HOU,2018-10-17,HOU,201810170HOU,34.717,6,15,.400,3,8,.375,3,4,.750,2,7,9,10,3,1,4,2,18,-23
P.J. Tucker,HOU,2018-10-17,HOU,201810170HOU,34.317,6,11,.545,4,7,.571,3,4,.750,0,2,2,1,1,1,0,2,19,-13
Chris Paul,HOU,2018-10-17,HOU,201810170HOU,32.35,6,12,.500,3,7,.429,4,5,.800,0,5,5,6,2,0,1,3,19,-19
Clint Capela,HOU,2018-10-17,HOU,201810170HOU,26.183,4,9,.444,0,0,,0,0,,3,5,8,1,0,1,1,3,8,-14
James Ennis,HOU,2018-10-17,HOU,201810170HOU,24.717,3,7,.429,2,5,.400,0,0,,1,0,1,0,1,0,0,4,8,-5
Eric Gordon,HOU,2018-10-17,HOU,201810170HOU,29.35,7,14,.500,2,9,.222,5,5,1.000,0,3,3,1,0,0,0,0,21,-11
Carmelo Anthony,HOU,2018-10-17,HOU,201810170HOU,27.0,3,10,.300,1,5,.200,2,4,.500,1,3,4,0,0,1,2,4,9,-20
Michael Carter-Williams,HOU,2018-10-17,HOU,201810170HOU,17.733,4,10,.400,1,3,.333,1,2,.500,1,3,4,2,0,2,3,3,10,+3
Gerald Green,HOU,2018-10-17,HOU,201810170HOU,10.467,0,4,.000,0,4,.000,0,0,,0,1,1,0,1,1,0,1,0,+3
Gary Clark,HOU,2018-10-17,HOU,201810170HOU,1.583,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Isaiah Hartenstein,HOU,2018-10-17,HOU,201810170HOU,1.583,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Andrew Wiggins,MIN,2018-10-17,SAS,201810170SAS,37.45,8,18,.444,2,6,.333,2,2,1.000,0,6,6,3,1,0,2,3,20,0
Jimmy Butler,MIN,2018-10-17,SAS,201810170SAS,31.6,9,23,.391,1,4,.250,4,5,.800,3,4,7,3,4,1,1,2,23,-3
Jeff Teague,MIN,2018-10-17,SAS,201810170SAS,31.533,8,12,.667,2,3,.667,9,9,1.000,0,1,1,4,2,0,2,2,27,-5
Taj Gibson,MIN,2018-10-17,SAS,201810170SAS,26.95,3,4,.750,0,0,,0,0,,2,9,11,0,0,0,1,5,6,-4
Karl-Anthony Towns,MIN,2018-10-17,SAS,201810170SAS,22.383,2,6,.333,1,2,.500,3,3,1.000,2,7,9,3,0,0,3,6,8,-4
Derrick Rose,MIN,2018-10-17,SAS,201810170SAS,30.517,3,12,.250,0,2,.000,2,2,1.000,3,1,4,2,0,0,1,2,8,-1
Gorgui Dieng,MIN,2018-10-17,SAS,201810170SAS,24.05,4,8,.500,0,2,.000,4,6,.667,3,2,5,2,2,1,0,4,12,-1
Anthony Tolliver,MIN,2018-10-17,SAS,201810170SAS,19.05,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,0,1,0,-3
Tyus Jones,MIN,2018-10-17,SAS,201810170SAS,16.467,2,7,.286,0,0,,0,0,,1,0,1,1,0,0,1,2,4,+1
Luol Deng,MIN,2018-10-17,SAS,201810170SAS,0.0,,,,,,,,,,,,,,,,,,,
Josh Okogie,MIN,2018-10-17,SAS,201810170SAS,0.0,,,,,,,,,,,,,,,,,,,
James Nunnally,MIN,2018-10-17,SAS,201810170SAS,0.0,,,,,,,,,,,,,,,,,,,
Keita Bates-Diop,MIN,2018-10-17,SAS,201810170SAS,0.0,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,SAS,2018-10-17,SAS,201810170SAS,41.65,7,23,.304,0,1,.000,7,10,.700,8,11,19,2,1,3,2,2,21,+6
DeMar DeRozan,SAS,2018-10-17,SAS,201810170SAS,38.183,10,21,.476,1,3,.333,7,11,.636,0,4,4,4,0,0,3,3,28,+7
Bryn Forbes,SAS,2018-10-17,SAS,201810170SAS,30.033,4,10,.400,1,5,.200,2,2,1.000,1,2,3,2,2,0,2,5,11,+2
Rudy Gay,SAS,2018-10-17,SAS,201810170SAS,23.483,8,12,.667,1,1,1.000,1,2,.500,3,4,7,0,0,1,1,3,18,+2
Jakob Pöltl,SAS,2018-10-17,SAS,201810170SAS,7.867,2,4,.500,0,0,,0,0,,4,0,4,2,0,0,0,3,4,+2
Patty Mills,SAS,2018-10-17,SAS,201810170SAS,29.883,2,7,.286,2,6,.333,0,0,,0,2,2,1,0,0,1,2,6,+1
Pau Gasol,SAS,2018-10-17,SAS,201810170SAS,22.683,1,4,.250,1,1,1.000,2,2,1.000,3,4,7,6,0,0,1,2,5,-2
Marco Belinelli,SAS,2018-10-17,SAS,201810170SAS,21.783,3,6,.500,2,4,.500,2,2,1.000,0,4,4,2,0,0,1,1,10,+3
Dāvis Bertāns,SAS,2018-10-17,SAS,201810170SAS,17.833,3,4,.750,3,4,.750,0,0,,0,1,1,2,0,0,0,0,9,+3
Dante Cunningham,SAS,2018-10-17,SAS,201810170SAS,6.6,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-4
Quincy Pondexter,SAS,2018-10-17,SAS,201810170SAS,0.0,,,,,,,,,,,,,,,,,,,
Drew Eubanks,SAS,2018-10-17,SAS,201810170SAS,0.0,,,,,,,,,,,,,,,,,,,
Chimezie Metu,SAS,2018-10-17,SAS,201810170SAS,0.0,,,,,,,,,,,,,,,,,,,
Rudy Gobert,UTA,2018-10-17,SAC,201810170SAC,37.267,7,9,.778,0,0,,5,5,1.000,3,12,15,0,0,3,2,3,19,-9
Donovan Mitchell,UTA,2018-10-17,SAC,201810170SAC,36.2,8,21,.381,3,10,.300,5,6,.833,0,3,3,2,2,0,4,5,24,-12
Joe Ingles,UTA,2018-10-17,SAC,201810170SAC,35.217,9,12,.750,4,6,.667,0,0,,0,1,1,6,4,0,5,3,22,-7
Derrick Favors,UTA,2018-10-17,SAC,201810170SAC,23.55,7,8,.875,0,0,,4,8,.500,1,8,9,1,0,1,2,1,18,+7
Ricky Rubio,UTA,2018-10-17,SAC,201810170SAC,21.867,0,4,.000,0,0,,1,1,1.000,0,2,2,4,1,0,2,3,1,-17
Jae Crowder,UTA,2018-10-17,SAC,201810170SAC,33.217,2,5,.400,2,4,.500,7,9,.778,0,5,5,0,0,0,0,2,13,+17
Dante Exum,UTA,2018-10-17,SAC,201810170SAC,26.117,4,9,.444,1,3,.333,4,7,.571,1,3,4,4,0,0,1,1,13,+22
Alec Burks,UTA,2018-10-17,SAC,201810170SAC,17.983,4,7,.571,3,3,1.000,2,2,1.000,0,3,3,4,1,0,1,1,13,+25
Royce O'Neale,UTA,2018-10-17,SAC,201810170SAC,6.6,0,4,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,+6
Georges Niang,UTA,2018-10-17,SAC,201810170SAC,1.983,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Ekpe Udoh,UTA,2018-10-17,SAC,201810170SAC,0.0,,,,,,,,,,,,,,,,,,,
Thabo Sefolosha,UTA,2018-10-17,SAC,201810170SAC,0.0,,,,,,,,,,,,,,,,,,,
Grayson Allen,UTA,2018-10-17,SAC,201810170SAC,0.0,,,,,,,,,,,,,,,,,,,
Willie Cauley-Stein,SAC,2018-10-17,SAC,201810170SAC,38.417,10,15,.667,0,0,,3,6,.500,2,5,7,4,1,2,0,2,23,+16
De'Aaron Fox,SAC,2018-10-17,SAC,201810170SAC,37.5,8,16,.500,0,2,.000,5,7,.714,0,4,4,7,3,0,3,5,21,+19
Buddy Hield,SAC,2018-10-17,SAC,201810170SAC,31.833,9,18,.500,1,4,.250,0,1,.000,1,5,6,1,1,1,4,6,19,+9
Yogi Ferrell,SAC,2018-10-17,SAC,201810170SAC,30.3,3,7,.429,2,3,.667,4,4,1.000,0,1,1,1,0,0,1,2,12,+10
Nemanja Bjelica,SAC,2018-10-17,SAC,201810170SAC,27.15,8,12,.667,2,2,1.000,0,0,,1,7,8,2,1,0,0,2,18,+12
Justin Jackson,SAC,2018-10-17,SAC,201810170SAC,30.5,4,10,.400,0,4,.000,0,0,,0,2,2,1,2,0,0,2,8,-19
Iman Shumpert,SAC,2018-10-17,SAC,201810170SAC,17.567,2,7,.286,1,3,.333,0,0,,0,3,3,0,0,0,0,2,5,-29
Marvin Bagley,SAC,2018-10-17,SAC,201810170SAC,12.117,3,6,.500,0,0,,0,0,,1,4,5,0,0,0,0,2,6,-14
Harry Giles,SAC,2018-10-17,SAC,201810170SAC,9.633,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,4,2,-22
Frank Mason,SAC,2018-10-17,SAC,201810170SAC,4.983,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-12
Ben McLemore,SAC,2018-10-17,SAC,201810170SAC,0.0,,,,,,,,,,,,,,,,,,,
Skal Labissière,SAC,2018-10-17,SAC,201810170SAC,0.0,,,,,,,,,,,,,,,,,,,
Wenyen Gabriel,SAC,2018-10-17,SAC,201810170SAC,0.0,,,,,,,,,,,,,,,,,,,
Will Barton,DEN,2018-10-17,LAC,201810170LAC,34.767,6,12,.500,3,5,.600,4,4,1.000,0,5,5,2,0,2,2,2,19,+10
Gary Harris,DEN,2018-10-17,LAC,201810170LAC,34.417,6,16,.375,0,3,.000,8,8,1.000,3,0,3,2,0,0,0,3,20,+15
Nikola Jokić,DEN,2018-10-17,LAC,201810170LAC,33.533,6,13,.462,1,4,.250,8,10,.800,2,6,8,5,1,2,2,4,21,+8
Jamal Murray,DEN,2018-10-17,LAC,201810170LAC,31.633,3,12,.250,1,4,.250,0,0,,2,3,5,3,1,0,1,2,7,+18
Paul Millsap,DEN,2018-10-17,LAC,201810170LAC,30.317,1,7,.143,0,1,.000,9,12,.750,3,13,16,0,1,1,2,2,11,+20
Trey Lyles,DEN,2018-10-17,LAC,201810170LAC,18.783,3,6,.500,0,1,.000,4,6,.667,0,7,7,0,1,0,1,2,10,-10
Monte Morris,DEN,2018-10-17,LAC,201810170LAC,16.383,3,9,.333,1,2,.500,0,0,,1,1,2,4,1,0,0,0,7,-9
Juan Hernangómez,DEN,2018-10-17,LAC,201810170LAC,15.05,2,3,.667,1,1,1.000,0,0,,2,4,6,1,1,1,0,1,5,-8
Mason Plumlee,DEN,2018-10-17,LAC,201810170LAC,13.367,1,3,.333,0,0,,0,2,.000,1,2,3,2,0,3,1,5,2,0
Malik Beasley,DEN,2018-10-17,LAC,201810170LAC,11.75,2,6,.333,1,3,.333,0,0,,0,1,1,1,0,0,1,1,5,+1
Thomas Welsh,DEN,2018-10-17,LAC,201810170LAC,0.0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Torrey Craig,DEN,2018-10-17,LAC,201810170LAC,0.0,,,,,,,,,,,,,,,,,,,
Tyler Lydon,DEN,2018-10-17,LAC,201810170LAC,0.0,,,,,,,,,,,,,,,,,,,
Tobias Harris,LAC,2018-10-17,LAC,201810170LAC,40.517,6,13,.462,2,6,.333,5,6,.833,1,9,10,1,0,3,2,4,19,-5
Danilo Gallinari,LAC,2018-10-17,LAC,201810170LAC,33.883,5,14,.357,4,7,.571,2,2,1.000,2,6,8,1,0,0,1,6,16,+9
Avery Bradley,LAC,2018-10-17,LAC,201810170LAC,27.933,4,10,.400,0,2,.000,0,0,,2,0,2,0,1,2,2,2,8,-9
Patrick Beverley,LAC,2018-10-17,LAC,201810170LAC,19.517,0,8,.000,0,5,.000,0,0,,0,4,4,6,0,1,1,5,0,-9
Marcin Gortat,LAC,2018-10-17,LAC,201810170LAC,18.167,3,5,.600,0,0,,0,0,,0,6,6,2,0,0,0,3,6,-5
Shai Gilgeous-Alexander,LAC,2018-10-17,LAC,201810170LAC,28.2,5,6,.833,0,0,,1,1,1.000,0,2,2,4,1,1,3,1,11,0
Lou Williams,LAC,2018-10-17,LAC,201810170LAC,24.417,4,10,.400,2,6,.333,4,5,.800,0,1,1,5,0,0,1,4,14,-4
Boban Marjanović,LAC,2018-10-17,LAC,201810170LAC,17.85,6,8,.750,0,0,,6,6,1.000,2,6,8,0,0,0,2,3,18,+7
Montrezl Harrell,LAC,2018-10-17,LAC,201810170LAC,16.317,2,8,.250,0,0,,2,2,1.000,1,4,5,1,0,2,0,3,6,-11
Luc Mbah a Moute,LAC,2018-10-17,LAC,201810170LAC,9.217,0,5,.000,0,2,.000,0,2,.000,1,0,1,1,1,0,0,1,0,-12
Mike Scott,LAC,2018-10-17,LAC,201810170LAC,3.983,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Jerome Robinson,LAC,2018-10-17,LAC,201810170LAC,0.0,,,,,,,,,,,,,,,,,,,
Tyrone Wallace,LAC,2018-10-17,LAC,201810170LAC,0.0,,,,,,,,,,,,,,,,,,,
Wesley Matthews,DAL,2018-10-17,PHO,201810170PHO,34.35,4,10,.400,2,7,.286,5,6,.833,1,1,2,5,1,0,2,0,15,-15
Luka Dončić,DAL,2018-10-17,PHO,201810170PHO,31.783,5,16,.313,0,5,.000,0,2,.000,2,6,8,4,0,0,4,3,10,-18
DeAndre Jordan,DAL,2018-10-17,PHO,201810170PHO,30.517,5,9,.556,0,0,,1,1,1.000,4,8,12,1,1,1,0,5,11,-21
Dorian Finney-Smith,DAL,2018-10-17,PHO,201810170PHO,30.35,4,7,.571,2,5,.400,2,2,1.000,0,3,3,1,0,3,0,2,12,-16
Dennis Smith,DAL,2018-10-17,PHO,201810170PHO,27.917,6,19,.316,1,4,.250,0,0,,1,1,2,5,3,0,1,2,13,-19
J.J. Barea,DAL,2018-10-17,PHO,201810170PHO,20.65,3,8,.375,1,2,.500,2,3,.667,0,3,3,10,1,0,1,1,9,+2
Jalen Brunson,DAL,2018-10-17,PHO,201810170PHO,19.117,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,0,1,3,-3
Dwight Powell,DAL,2018-10-17,PHO,201810170PHO,17.483,6,8,.750,0,1,.000,4,6,.667,2,3,5,0,1,1,0,1,16,0
Maxi Kleber,DAL,2018-10-17,PHO,201810170PHO,16.75,3,3,1.000,2,2,1.000,0,0,,0,2,2,0,0,0,1,1,8,-3
Devin Harris,DAL,2018-10-17,PHO,201810170PHO,6.2,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-2
Ryan Broekhoff,DAL,2018-10-17,PHO,201810170PHO,3.983,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,-8
Ray Spalding,DAL,2018-10-17,PHO,201810170PHO,0.9,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Salah Mejri,DAL,2018-10-17,PHO,201810170PHO,0.0,,,,,,,,,,,,,,,,,,,
Trevor Ariza,PHO,2018-10-17,PHO,201810170PHO,37.017,7,12,.583,5,9,.556,2,2,1.000,0,8,8,7,1,0,0,2,21,+25
Deandre Ayton,PHO,2018-10-17,PHO,201810170PHO,36.483,8,11,.727,0,0,,2,2,1.000,1,9,10,6,1,1,0,2,18,+17
Isaiah Canaan,PHO,2018-10-17,PHO,201810170PHO,33.567,3,10,.300,2,5,.400,0,0,,0,6,6,7,0,0,1,4,8,+7
Devin Booker,PHO,2018-10-17,PHO,201810170PHO,33.45,12,19,.632,6,10,.600,5,6,.833,0,4,4,7,0,0,3,4,35,+22
Ryan Anderson,PHO,2018-10-17,PHO,201810170PHO,24.017,1,4,.250,0,1,.000,0,0,,3,4,7,3,0,0,1,0,2,+22
Josh Jackson,PHO,2018-10-17,PHO,201810170PHO,28.383,7,11,.636,3,4,.750,1,2,.500,0,2,2,3,0,1,3,1,18,+10
T.J. Warren,PHO,2018-10-17,PHO,201810170PHO,23.75,5,12,.417,3,4,.750,4,4,1.000,1,0,1,1,2,0,3,3,17,-1
Tyson Chandler,PHO,2018-10-17,PHO,201810170PHO,11.517,0,0,,0,0,,0,0,,0,5,5,0,1,0,0,4,0,+4
Elie Okobo,PHO,2018-10-17,PHO,201810170PHO,7.5,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,2,2,+1
Troy Daniels,PHO,2018-10-17,PHO,201810170PHO,4.133,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-2
Mikal Bridges,PHO,2018-10-17,PHO,201810170PHO,0.183,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Dragan Bender,PHO,2018-10-17,PHO,201810170PHO,0.0,,,,,,,,,,,,,,,,,,,
Richaun Holmes,PHO,2018-10-17,PHO,201810170PHO,0.0,,,,,,,,,,,,,,,,,,,
Bobby Portis,CHI,2018-10-18,PHI,201810180PHI,33.1,8,15,.533,3,6,.500,1,2,.500,2,9,11,2,1,1,0,4,20,-3
Zach LaVine,CHI,2018-10-18,PHI,201810180PHI,32.7,11,19,.579,2,7,.286,6,7,.857,0,5,5,3,0,3,5,5,30,-10
Justin Holiday,CHI,2018-10-18,PHI,201810180PHI,27.383,4,12,.333,2,9,.222,0,0,,0,4,4,1,0,0,0,2,10,-29
Cameron Payne,CHI,2018-10-18,PHI,201810180PHI,21.567,0,4,.000,0,1,.000,0,0,,0,1,1,5,1,0,1,1,0,-18
Wendell Carter,CHI,2018-10-18,PHI,201810180PHI,19.983,4,10,.400,0,0,,0,0,,1,2,3,3,0,1,1,4,8,-18
Antonio Blakeney,CHI,2018-10-18,PHI,201810180PHI,30.45,6,16,.375,1,3,.333,2,3,.667,0,5,5,2,0,0,1,2,15,+6
Ryan Arcidiacono,CHI,2018-10-18,PHI,201810180PHI,28.267,3,4,.750,2,3,.667,0,0,,0,4,4,8,0,0,0,0,8,-5
Jabari Parker,CHI,2018-10-18,PHI,201810180PHI,25.2,7,16,.438,1,4,.250,0,0,,1,4,5,1,1,0,2,3,15,-14
Robin Lopez,CHI,2018-10-18,PHI,201810180PHI,17.717,1,4,.250,0,0,,0,0,,1,0,1,3,1,1,2,2,2,-3
Chandler Hutchison,CHI,2018-10-18,PHI,201810180PHI,2.817,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Tyler Ulis,CHI,2018-10-18,PHI,201810180PHI,0.817,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Rawle Alkins,CHI,2018-10-18,PHI,201810180PHI,0.0,,,,,,,,,,,,,,,,,,,
Ben Simmons,PHI,2018-10-18,PHI,201810180PHI,33.7,5,8,.625,0,0,,3,3,1.000,1,12,13,11,1,2,3,0,13,+24
Joel Embiid,PHI,2018-10-18,PHI,201810180PHI,32.85,9,14,.643,0,3,.000,12,14,.857,1,11,12,3,1,4,2,4,30,+26
Markelle Fultz,PHI,2018-10-18,PHI,201810180PHI,32.133,5,15,.333,1,3,.333,1,2,.500,3,1,4,5,2,0,1,2,12,+5
Robert Covington,PHI,2018-10-18,PHI,201810180PHI,29.133,6,14,.429,4,11,.364,4,4,1.000,0,5,5,2,2,1,2,2,20,+24
Dario Šarić,PHI,2018-10-18,PHI,201810180PHI,28.333,4,12,.333,2,6,.333,3,3,1.000,4,6,10,3,1,0,3,2,13,+9
Landry Shamet,PHI,2018-10-18,PHI,201810180PHI,29.183,4,7,.571,4,7,.571,0,0,,0,4,4,1,2,1,0,1,12,+1
J.J. Redick,PHI,2018-10-18,PHI,201810180PHI,24.1,4,11,.364,1,3,.333,1,1,1.000,1,2,3,1,1,0,1,1,10,+17
Amir Johnson,PHI,2018-10-18,PHI,201810180PHI,15.15,6,9,.667,0,1,.000,1,1,1.000,1,2,3,1,0,0,1,4,13,-7
Furkan Korkmaz,PHI,2018-10-18,PHI,201810180PHI,7.75,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-2
T.J. McConnell,PHI,2018-10-18,PHI,201810180PHI,4.85,1,1,1.000,0,0,,2,2,1.000,0,0,0,3,0,0,0,0,4,-3
Jonah Bolden,PHI,2018-10-18,PHI,201810180PHI,2.817,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,+1
Shake Milton,PHI,2018-10-18,PHI,201810180PHI,0.0,,,,,,,,,,,,,,,,,,,
Demetrius Jackson,PHI,2018-10-18,PHI,201810180PHI,0.0,,,,,,,,,,,,,,,,,,,
Josh Richardson,MIA,2018-10-18,WAS,201810180WAS,38.417,8,21,.381,5,11,.455,7,8,.875,2,2,4,5,1,1,2,1,28,0
Rodney McGruder,MIA,2018-10-18,WAS,201810180WAS,34.133,7,12,.583,3,7,.429,3,3,1.000,1,7,8,6,0,1,2,5,20,-1
Goran Dragić,MIA,2018-10-18,WAS,201810180WAS,31.25,3,18,.167,1,6,.167,1,1,1.000,3,3,6,8,1,1,3,3,8,0
Hassan Whiteside,MIA,2018-10-18,WAS,201810180WAS,28.983,3,6,.500,0,0,,3,5,.600,4,6,10,0,0,1,2,5,9,-4
Derrick Jones,MIA,2018-10-18,WAS,201810180WAS,23.85,5,10,.500,1,2,.500,6,9,.667,4,1,5,0,1,0,0,5,17,-3
Dwyane Wade,MIA,2018-10-18,WAS,201810180WAS,26.417,4,11,.364,0,2,.000,1,2,.500,2,6,8,4,2,0,3,1,9,0
Tyler Johnson,MIA,2018-10-18,WAS,201810180WAS,24.467,3,9,.333,1,5,.200,2,2,1.000,1,0,1,1,1,0,1,2,9,+9
Bam Adebayo,MIA,2018-10-18,WAS,201810180WAS,17.117,1,4,.250,0,0,,2,4,.500,3,6,9,0,0,0,3,2,4,+4
Kelly Olynyk,MIA,2018-10-18,WAS,201810180WAS,15.367,4,6,.667,1,2,.500,0,0,,2,2,4,1,0,1,0,2,9,0
Udonis Haslem,MIA,2018-10-18,WAS,201810180WAS,0.0,,,,,,,,,,,,,,,,,,,
Duncan Robinson,MIA,2018-10-18,WAS,201810180WAS,0.0,,,,,,,,,,,,,,,,,,,
Yante Maten,MIA,2018-10-18,WAS,201810180WAS,0.0,,,,,,,,,,,,,,,,,,,
Wayne Ellington,MIA,2018-10-18,WAS,201810180WAS,0.0,,,,,,,,,,,,,,,,,,,
John Wall,WAS,2018-10-18,WAS,201810180WAS,35.817,9,16,.563,1,6,.167,7,10,.700,1,2,3,9,1,4,3,4,26,+6
Otto Porter,WAS,2018-10-18,WAS,201810180WAS,33.617,3,7,.429,0,0,,3,4,.750,2,9,11,0,3,3,0,1,9,+1
Bradley Beal,WAS,2018-10-18,WAS,201810180WAS,27.183,7,16,.438,2,7,.286,4,6,.667,0,1,1,2,1,0,1,5,20,-6
Markieff Morris,WAS,2018-10-18,WAS,201810180WAS,24.833,3,8,.375,2,3,.667,3,4,.750,0,5,5,2,0,2,3,4,11,-1
Ian Mahinmi,WAS,2018-10-18,WAS,201810180WAS,11.633,1,2,.500,0,0,,1,2,.500,1,0,1,0,1,2,1,4,3,+3
Jeff Green,WAS,2018-10-18,WAS,201810180WAS,32.5,6,12,.500,2,4,.500,3,3,1.000,1,3,4,1,1,1,2,3,17,0
Austin Rivers,WAS,2018-10-18,WAS,201810180WAS,25.0,4,7,.571,0,3,.000,1,2,.500,0,0,0,2,0,1,0,3,9,0
Kelly Oubre,WAS,2018-10-18,WAS,201810180WAS,20.233,2,8,.250,0,3,.000,5,6,.833,2,4,6,0,0,1,1,1,9,-3
Jason Smith,WAS,2018-10-18,WAS,201810180WAS,14.9,2,3,.667,0,0,,0,0,,0,6,6,0,0,0,2,4,4,-5
Tomáš Satoranský,WAS,2018-10-18,WAS,201810180WAS,14.1,1,2,.500,0,0,,2,2,1.000,0,3,3,3,0,1,1,2,4,0
Jordan McRae,WAS,2018-10-18,WAS,201810180WAS,0.183,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Troy Brown,WAS,2018-10-18,WAS,201810180WAS,0.0,,,,,,,,,,,,,,,,,,,
Thomas Bryant,WAS,2018-10-18,WAS,201810180WAS,0.0,,,,,,,,,,,,,,,,,,,
LeBron James,LAL,2018-10-18,POR,201810180POR,37.333,9,16,.563,0,4,.000,8,9,.889,2,10,12,6,1,0,6,3,26,-4
Rajon Rondo,LAL,2018-10-18,POR,201810180POR,31.75,6,13,.462,1,2,.500,0,0,,0,4,4,11,1,0,3,6,13,+7
Brandon Ingram,LAL,2018-10-18,POR,201810180POR,27.583,7,15,.467,0,4,.000,2,4,.500,1,3,4,1,2,1,1,0,16,+4
Kentavious Caldwell-Pope,LAL,2018-10-18,POR,201810180POR,27.3,1,3,.333,1,1,1.000,2,2,1.000,0,2,2,0,0,0,0,1,5,+8
JaVale McGee,LAL,2018-10-18,POR,201810180POR,21.583,5,6,.833,0,0,,3,4,.750,3,5,8,1,1,3,0,3,13,-1
Kyle Kuzma,LAL,2018-10-18,POR,201810180POR,28.9,5,15,.333,1,7,.143,4,5,.800,0,5,5,0,1,0,1,3,15,-12
Josh Hart,LAL,2018-10-18,POR,201810180POR,27.467,8,12,.667,3,5,.600,1,3,.333,0,4,4,1,3,2,2,5,20,-13
Lonzo Ball,LAL,2018-10-18,POR,201810180POR,19.467,2,7,.286,1,4,.250,2,2,1.000,2,2,4,1,1,0,1,3,7,-15
Lance Stephenson,LAL,2018-10-18,POR,201810180POR,16.317,2,6,.333,0,3,.000,0,0,,0,2,2,2,0,0,1,2,4,-15
Michael Beasley,LAL,2018-10-18,POR,201810180POR,2.3,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Sviatoslav Mykhailiuk,LAL,2018-10-18,POR,201810180POR,0.0,,,,,,,,,,,,,,,,,,,
Ivica Zubac,LAL,2018-10-18,POR,201810180POR,0.0,,,,,,,,,,,,,,,,,,,
Isaac Bonga,LAL,2018-10-18,POR,201810180POR,0.0,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,2018-10-18,POR,201810180POR,35.4,9,21,.429,2,7,.286,8,8,1.000,1,5,6,4,1,1,3,0,28,-8
CJ McCollum,POR,2018-10-18,POR,201810180POR,31.017,6,17,.353,3,6,.500,6,6,1.000,1,4,5,1,0,0,2,4,21,-9
Al-Farouq Aminu,POR,2018-10-18,POR,201810180POR,26.967,1,10,.100,0,6,.000,3,4,.750,0,6,6,0,1,0,1,3,5,+1
Jusuf Nurkić,POR,2018-10-18,POR,201810180POR,17.183,7,14,.500,0,1,.000,2,2,1.000,6,3,9,0,2,0,2,4,16,-17
Jake Layman,POR,2018-10-18,POR,201810180POR,12.667,1,4,.250,1,4,.250,0,0,,0,2,2,0,1,0,1,1,3,-3
